A,B,C,D
1,11,-43.93,198.09
2,14,-39.9,249.11
3,6,-35.68,113.07
4,33,-32.01,572.1
5,28,-27.81,487.05
6,17,-23.93,300.32
7,17,-19.94,300.17
8,39,-15.96,674.18
9,30,-11.82,521.33
10,3,-7.68,62.21
11,16,-3.97,283.31
12,27,0.09,470.35
13,32,4.08,555.21
14,33,8.33,572.14
15,6,12.13,113.35
16,5,16.3,96.36
17,39,20,674.36
18,18,23.99,317.34
19,30,28.21,521.06
20,17,32.25,300
21,1,36.33,27.98
22,26,40.13,453.09
23,15,44.05,266.19
24,38,48.31,657.14
25,6,52.29,113.3
26,35,56.34,606.14
27,33,60.34,572.16
28,32,64.04,555.1
29,28,68.27,487.33
30,37,72.04,640.12
31,39,76.05,674.08
32,39,80.23,674.23
33,3,83.98,62.22
34,16,88.36,283.07
35,33,92.02,571.98
36,17,96.37,300.27
37,25,100.23,436.15
38,4,104.15,79.13
39,8,108.03,147.02
40,3,112,62.01
41,10,116.32,181
42,20,120.23,351.26
43,37,124.26,640.26
44,13,128.35,232.17
45,15,132.28,266.13
46,15,136.37,266.05
47,4,140.22,79.3
48,13,144.18,232.07
49,29,148.26,504.04
50,33,152.22,571.99
51,28,156.32,487.33
52,31,160.04,538.1
53,19,164.01,334.31
54,39,168.06,674.28
55,18,172.21,317.18
56,26,176.29,453.09
57,33,180.25,572.25
58,25,183.99,436.06
59,34,188.28,589.26
60,0,192.13,11.1
61,1,196.02,28.36
62,28,200.33,487.02
63,1,204.04,28.37
64,34,208.03,588.98
65,16,212.14,283.21
66,36,216,623.04
67,39,220.33,674.32
68,26,224.1,453.33
69,34,228.36,589.15
70,15,232.36,266.3
71,27,236.3,470.34
72,18,240.1,317.29
73,14,244.03,249.27
74,14,248.29,249.25
75,6,252.05,113.01
76,21,256.01,368.35
77,28,260.32,487.22
78,22,264.19,385.34
79,9,268.05,164.32
80,26,272.2,453.22
81,18,276,317.06
82,7,280.18,130.11
83,30,284.32,521.16
84,20,287.98,351.08
85,7,292.36,130.15
86,2,296.18,45.11
87,31,300.06,538.05
88,15,304.2,266.18
89,3,308.21,62.26
90,29,312.07,504
91,13,316.17,232.02
92,14,320.24,249.14
93,27,324.07,470.01
94,5,328.19,96.33
95,7,332.26,130.32
96,25,336.2,436.12
97,38,340.11,657.12
98,37,344.18,640.34
99,18,348.21,317.17
100,38,352.02,657.18
